produto,loja,preco,link,data_envio
Be Delicious Eau de Parfum Feminino 100 ml,Amazon,500.0,https://www.amazon.com.br/dp/B000E7STLQ?tag=mattmoraes04-20,2026-04-28T19:59:13.193564
"LATTAFA Yara & Yara Candy EDP Sprays 100 ml (96.4 g) Conjunto de presente doce, floral, fragrâncias frutadas com baunilha quente e sândalo - um conjunto perfeito para presente.",Amazon,500.0,https://www.amazon.com.br/dp/B0DS2XSPTK?tag=mattmoraes04-20,2026-04-28T20:00:13.194764
"Johnson's Baby Colônia Refrescante Lavanda Para Bebês,200ml",Amazon,23.77,https://www.amazon.com.br/dp/B0080GYTC6?tag=mattmoraes04-20,2026-04-28T20:01:13.196260
"MONDIAL Fritadeira Sem Óleo Air Fryer 3,5L, Preto/Inox, 1500W, 110V - AF-30 I",Amazon,219.9,https://www.amazon.com.br/dp/B07WFHZQ2T?tag=mattmoraes04-20,2026-04-28T20:02:13.199650
"HyperX Teclado Gamer HyperX Alloy Core RGB, ABNT2, PRETO",Amazon,199.99,https://www.amazon.com.br/dp/B07TV9B7Z3?tag=mattmoraes04-20,2026-04-28T20:03:13.201178
"Mouse Gamer Logitech G203 LIGHTSYNC RGB, Efeito de Ondas de Cores, 6 Botões Programáveis e Até 8.000 DPI - Preto",Amazon,100.0,https://www.amazon.com.br/dp/B087CT8PWY?tag=mattmoraes04-20,2026-04-28T20:30:44.173122
Monitor Gamer LG UltraGear 24” 24GS60F-B IPS Full HD 180Hz 1ms (GtG) NVIDIA® G-SYNC® AMD FreeSync™ HDR10 sRGB 99% HDMI DisplayPort,Amazon,739.0,https://www.amazon.com.br/dp/B0D8DPT7ZY?tag=mattmoraes04-20,2026-04-28T20:32:29.953601
Mouse Gamer Sem Fio Logitech G305 LIGHTSPEED com 6 Botões Programáveis e Até 12.000 DPI - Preto,Amazon,189.99,https://www.amazon.com.br/dp/B07GPRWFC5?tag=mattmoraes04-20,2026-04-28T20:34:15.362598
Monitor PC Gamer LG 24MS500 24” IPS 100Hz Full HD HDMI 2x,Amazon,479.0,https://www.amazon.com.br/dp/B0DF2WSGF6?tag=mattmoraes04-20,2026-04-28T20:36:00.578031
"Fritadeira Sem Óleo Oster 127V - OFRT520, PRETO",Amazon,289.9,https://www.amazon.com.br/dp/B0B72QZXCC?tag=mattmoraes04-20,2026-04-28T20:37:49.285063
PUMA,Amazon,249.9,https://www.amazon.com.br/dp/B08HWH7RSN?tag=mattmoraes04-20,2026-04-28T20:57:26.816452
"ELG, F80N, Suporte Articulado de Mesa, Pistão a Gás, Design Compacto e Retrátil, Ergonômico, Monitores 17'' a 35'', 2kg a 9kg, Preto",Amazon,159.0,https://www.amazon.com.br/dp/B0765KZ264?tag=mattmoraes04-20,2026-04-28T21:08:25.823368
"Caderno espiral Five Star 72081 + app de estudo, 200 folhas, 28 x 21 cm, preto",Amazon,62.98,https://www.amazon.com.br/dp/B003O2RXUQ?tag=mattmoraes04-20,2026-04-28T21:14:08.955987
"Mouse Gamer Logitech G502 HERO com RGB LIGHTSYNC, Ajustes de Peso, 11 Botões Programáveis e Sensor HERO 25K",Amazon,269.99,https://www.amazon.com.br/dp/B07JM7DR7K?tag=mattmoraes04-20,2026-04-28T21:15:53.857491
